category,subitem,propulsion,isp_seconds,gear_ratio,max_phase_i_propellant_kg,max_phase_ii_propellant_kg,mass_savings_min_kg,mass_savings_max_kg,mass_savings_kg
Trash Total,Chemical,Chemical,425.0,3.34,490.0,990.0,1635.0,3300.0,2467.5
Trash Total,SEP,SEP,1500.0,1.35,490.0,990.0,660.0,1340.0,1000.0
