Temperature (¡C),m/z 18 (H2O),m/z 32 (O2),m/z 44 (CO2),m/z 64 (SO2)
310.56,6.04E-09,6.92E-10,4.69E-10,1.89E-12
313.748,6.07E-09,6.98E-10,5.02E-10,1.81E-12
316.93,6.09E-09,6.91E-10,5.35E-10,1.60E-12
320.144,6.14E-09,6.89E-10,5.67E-10,1.83E-12
323.293,6.19E-09,6.83E-10,6.04E-10,2.02E-12
326.49,6.19E-09,6.82E-10,6.26E-10,1.82E-12
329.672,6.21E-09,6.90E-10,6.66E-10,2.15E-12
332.892,6.23E-09,6.82E-10,6.87E-10,1.90E-12
336.074,6.29E-09,6.84E-10,7.15E-10,1.58E-12
339.271,6.32E-09,6.75E-10,7.57E-10,2.41E-12
342.436,6.34E-09,6.74E-10,8.02E-10,1.74E-12
345.592,6.39E-09,6.80E-10,8.35E-10,1.97E-12
348.79,6.40E-09,6.70E-10,8.69E-10,1.69E-12
351.93,6.41E-09,6.65E-10,9.06E-10,1.63E-12
355.1,6.48E-09,6.71E-10,9.58E-10,2.03E-12
358.288,6.52E-09,6.56E-10,1.02E-09,1.69E-12
361.494,6.55E-09,6.57E-10,1.08E-09,2.11E-12
364.592,6.59E-09,6.54E-10,1.15E-09,2.13E-12
367.769,6.63E-09,6.53E-10,1.23E-09,1.90E-12
370.922,6.66E-09,6.49E-10,1.33E-09,1.90E-12
374.084,6.71E-09,6.49E-10,1.42E-09,2.35E-12
377.286,6.75E-09,6.41E-10,1.52E-09,2.19E-12
380.401,6.79E-09,6.52E-10,1.62E-09,2.18E-12
383.569,6.82E-09,6.46E-10,1.72E-09,2.23E-12
386.71,6.87E-09,6.33E-10,1.83E-09,2.24E-12
389.853,6.90E-09,6.49E-10,1.96E-09,2.32E-12
393.005,6.91E-09,6.49E-10,2.11E-09,2.49E-12
396.202,7.00E-09,6.44E-10,2.23E-09,2.47E-12
399.302,6.96E-09,6.52E-10,2.36E-09,2.75E-12
402.478,6.99E-09,6.64E-10,2.49E-09,2.71E-12
405.629,7.01E-09,6.74E-10,2.62E-09,2.86E-12
408.78,6.97E-09,6.77E-10,2.75E-09,2.98E-12
411.915,7.00E-09,6.88E-10,2.85E-09,2.64E-12
415.073,6.98E-09,6.92E-10,2.94E-09,2.36E-12
418.222,6.97E-09,7.06E-10,2.99E-09,2.68E-12
421.371,6.93E-09,6.96E-10,3.02E-09,2.56E-12
424.504,6.90E-09,7.01E-10,3.05E-09,2.47E-12
427.687,6.91E-09,7.01E-10,3.07E-09,2.82E-12
430.819,6.86E-09,7.08E-10,3.04E-09,2.71E-12
434.018,6.82E-09,6.99E-10,3.02E-09,2.39E-12
