Wavelength (nm),MMS1,MMS2,JSC Mars-1,MGS-1 Prototype
475,0.0961877,0.090051,0.039812,0.113753
476,0.0963608,0.0901519,0.0401419,0.114017
477,0.0965456,0.0902314,0.0404508,0.114255
478,0.0966837,0.0903013,0.0407627,0.114505
479,0.0967859,0.0903746,0.04109,0.114771
480,0.0969522,0.0904672,0.0414274,0.115022
481,0.0971754,0.0905982,0.0417582,0.115252
482,0.0974032,0.0907339,0.0421293,0.115485
483,0.0975776,0.0908291,0.0425904,0.115756
484,0.0977919,0.0909286,0.0429549,0.116013
485,0.0980116,0.0910477,0.043324,0.116249
486,0.09821,0.0911837,0.0437753,0.11649
487,0.0984093,0.0912787,0.0442061,0.116816
488,0.0986356,0.09139,0.0446972,0.117155
489,0.0988801,0.0915229,0.0452286,0.117471
490,0.0991,0.0916347,0.0456833,0.11776
491,0.0993353,0.091753,0.0461794,0.11806
492,0.0995896,0.0918829,0.0467256,0.118362
493,0.0998551,0.0920241,0.0472914,0.11865
494,0.100152,0.0922045,0.0478243,0.118981
495,0.100426,0.0923722,0.0483863,0.119339
496,0.100664,0.0925018,0.0489988,0.1197
497,0.100946,0.0926372,0.0495524,0.120024
498,0.10123,0.0927915,0.0501426,0.120344
499,0.101492,0.0929447,0.0507814,0.120686
500,0.101725,0.0930477,0.0514167,0.121064
501,0.101983,0.0931756,0.0520429,0.121398
502,0.10225,0.0933247,0.0527037,0.121731
503,0.102489,0.0934666,0.0534257,0.12212
504,0.102715,0.0935919,0.0540491,0.122468
505,0.102977,0.0937524,0.0546702,0.122803
506,0.103276,0.0939544,0.055358,0.123149
507,0.103496,0.0941002,0.056082,0.123515
508,0.103715,0.0942193,0.0568229,0.123897
509,0.103957,0.094336,0.0575833,0.124285
510,0.104217,0.0944753,0.0583821,0.12466
511,0.104487,0.0946367,0.0591429,0.125044
512,0.104773,0.0948099,0.0598965,0.125432
513,0.105076,0.094981,0.0606908,0.125813
514,0.105338,0.0951502,0.0614904,0.126214
515,0.1056,0.0953144,0.0622904,0.126609
516,0.105888,0.0954767,0.0630919,0.126988
517,0.106202,0.0956688,0.0639135,0.127406
518,0.106498,0.0958456,0.0647475,0.127837
519,0.106785,0.0960181,0.0655962,0.128268
520,0.107123,0.0962438,0.0664718,0.128696
521,0.107472,0.096487,0.0673617,0.129128
522,0.107807,0.0967146,0.0682633,0.129563
523,0.10812,0.0969101,0.069173,0.130004
524,0.10845,0.0971439,0.0700306,0.130467
525,0.108807,0.0973986,0.0709233,0.130934
526,0.109187,0.0976568,0.071896,0.131393
527,0.109551,0.0979269,0.0728685,0.131854
528,0.109964,0.0982325,0.0738178,0.132322
529,0.110413,0.0985623,0.0747576,0.132803
530,0.110815,0.0988697,0.0757396,0.133308
531,0.111261,0.0992101,0.0767194,0.133822
532,0.111733,0.0995718,0.0776857,0.134337
533,0.112183,0.0999252,0.0786456,0.134848
534,0.112676,0.100305,0.0796778,0.135398
535,0.113191,0.100708,0.0807185,0.13595
536,0.113715,0.101134,0.0817242,0.136483
537,0.114257,0.101587,0.0827517,0.13702
538,0.114828,0.102061,0.0837864,0.137573
539,0.115425,0.102558,0.084828,0.13815
540,0.11602,0.103095,0.0858945,0.138759
541,0.116654,0.10367,0.0869568,0.139334
542,0.117335,0.104283,0.0880074,0.139908
543,0.118037,0.104918,0.0890392,0.14053
544,0.118741,0.105576,0.0900938,0.141144
545,0.119453,0.106252,0.0911734,0.141771
546,0.120192,0.106954,0.0922701,0.142436
547,0.12099,0.107721,0.0933512,0.143102
548,0.121823,0.108542,0.0944167,0.143793
549,0.122681,0.109403,0.0954852,0.144506
550,0.123561,0.110286,0.0966144,0.145184
551,0.124488,0.11123,0.0977151,0.145897
552,0.12547,0.112245,0.0987897,0.146648
553,0.126505,0.11332,0.0998884,0.147401
554,0.127558,0.114427,0.101014,0.148153
555,0.128648,0.115586,0.102133,0.148925
556,0.1298,0.116823,0.103219,0.149737
557,0.130972,0.118105,0.104356,0.150556
558,0.132191,0.119444,0.105505,0.151395
559,0.133473,0.12085,0.106634,0.152256
560,0.134783,0.122323,0.107757,0.153115
561,0.136128,0.123857,0.108872,0.153992
562,0.137513,0.125455,0.109979,0.154892
563,0.138961,0.127129,0.111094,0.155815
564,0.140451,0.128864,0.112224,0.156758
565,0.141983,0.130659,0.113355,0.157712
566,0.143561,0.132522,0.114468,0.158671
567,0.145179,0.134475,0.115596,0.159643
568,0.146831,0.13648,0.116732,0.16062
569,0.148515,0.138511,0.117864,0.161602
570,0.150208,0.140603,0.118976,0.162614
571,0.151948,0.142763,0.120102,0.163648
572,0.153736,0.144978,0.121243,0.164696
573,0.155511,0.147211,0.122354,0.16575
574,0.157328,0.149511,0.123488,0.166822
575,0.159187,0.151863,0.124641,0.1679
576,0.161057,0.154223,0.12578,0.16896
