Temperature (¡C),Mass (%)
48.0566,99.7478
48.1582,99.7468
48.2597,99.7457
48.3609,99.7447
48.462,99.7436
48.5631,99.7426
48.6629,99.7414
48.7624,99.7402
48.8618,99.7391
48.9607,99.7379
49.0589,99.7367
49.1561,99.7355
49.2541,99.7343
49.3528,99.733
49.4516,99.7318
49.5506,99.7306
49.6435,99.7292
49.7446,99.728
49.846,99.7267
49.9483,99.7254
50.0512,99.7241
50.1478,99.7229
50.2515,99.7216
50.3551,99.7202
50.4589,99.719
50.5633,99.7176
50.6676,99.7164
50.7715,99.715
50.8754,99.7136
50.9788,99.7124
51.0815,99.7112
51.1839,99.7098
51.2863,99.7086
51.389,99.7074
51.4926,99.7062
51.5966,99.705
51.7011,99.704
51.8028,99.7029
51.9088,99.7018
52.0155,99.7009
52.1225,99.6999
52.2298,99.699
52.3333,99.6981
52.4404,99.6971
52.5468,99.6961
52.6525,99.6953
52.758,99.6943
52.8629,99.6934
52.9665,99.6924
53.0692,99.6915
53.1716,99.6905
53.2736,99.6894
53.3755,99.6884
53.4766,99.6873
53.5777,99.6862
53.6781,99.6852
53.7783,99.6843
53.8786,99.6832
53.9799,99.6822
54.0784,99.6811
54.1817,99.6802
54.2852,99.6792
54.3893,99.6782
54.4945,99.6771
54.5963,99.676
54.703,99.6749
54.8103,99.6738
54.9189,99.6726
55.0279,99.6713
55.1372,99.67
55.2478,99.6687
55.359,99.6674
55.4708,99.6661
55.5825,99.6647
55.694,99.6633
55.8049,99.662
55.9152,99.6607
56.0242,99.6593
56.1324,99.658
56.2399,99.6566
56.3453,99.6553
56.4501,99.654
56.5548,99.6527
56.6601,99.6513
56.7656,99.6501
56.8708,99.6489
56.9766,99.6476
57.083,99.6466
57.1905,99.6454
57.299,99.6444
57.4091,99.6435
57.5198,99.6425
57.6309,99.6416
57.7421,99.6406
57.8537,99.6399
57.967,99.639
58.0807,99.6381
58.1947,99.6373
58.3075,99.6364
58.4193,99.6356
58.5301,99.6348
58.641,99.6339
58.7481,99.633
58.8586,99.6321
58.9685,99.6311
59.0772,99.6301
59.1854,99.6292
59.2894,99.6282
59.3976,99.6272
