dataset_source,phase,type,wt_pct,wavelength_(nm),mms1,mms2,jsc_mars-1,mgs-1_prototype,temperature_(¡c),m/z_18_(h2o),m/z_32_(o2),m/z_44_(co2),m/z_64_(so2),mass_(%),diameter_(microns),%_retained,%_channel
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Plagioclase,Crystalline,27.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Pyroxene,Crystalline,20.3,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Olivine,Crystalline,13.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Magnetite,Crystalline,1.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hematite,Crystalline,1.1,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Anhydrite,Crystalline,0.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Quartz,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ilmenite,Crystalline,0.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Basaltic Glass,Amorphous,22.9,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Hydrated Silica (Opal),Amorphous,5.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Mg-sulfate,Amorphous,4.0,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Ferrihydrite,Amorphous,1.7,,,,,,,,,,,,,,
MGS-1_Martian_Regolith_Simulant_Recipe.csv,Fe-carbonate,Amorphous,1.4,,,,,,,,,,,,,,
fig4_spectralData.csv,,,,394.0,0.0769477,0.0791224,0.0207049,0.0888992,,,,,,,,,
fig4_spectralData.csv,,,,395.0,0.0773196,0.0795232,0.020851,0.0891932,,,,,,,,,
fig4_spectralData.csv,,,,396.0,0.077652,0.0797392,0.0210662,0.0895627,,,,,,,,,
fig4_spectralData.csv,,,,397.0,0.0780084,0.0797888,0.0211866,0.0898989,,,,,,,,,
fig4_spectralData.csv,,,,398.0,0.0782444,0.0799514,0.0211599,0.0904685,,,,,,,,,
fig4_spectralData.csv,,,,399.0,0.0783111,0.0800364,0.0214807,0.0906501,,,,,,,,,
fig4_spectralData.csv,,,,400.0,0.0784826,0.0801709,0.0219692,0.0906622,,,,,,,,,
fig4_spectralData.csv,,,,401.0,0.0791161,0.0805883,0.0221163,0.0910823,,,,,,,,,
fig4_spectralData.csv,,,,402.0,0.0794478,0.0808052,0.0218494,0.0913034,,,,,,,,,
fig4_spectralData.csv,,,,403.0,0.0796787,0.0809665,0.02181,0.0915013,,,,,,,,,
fig4_spectralData.csv,,,,404.0,0.0800092,0.0811965,0.0222254,0.09183,,,,,,,,,
fig4_spectralData.csv,,,,405.0,0.0803213,0.0813626,0.0221674,0.0921644,,,,,,,,,
fig4_spectralData.csv,,,,406.0,0.0806143,0.0815356,0.0223301,0.0924357,,,,,,,,,
fig4_spectralData.csv,,,,407.0,0.0809186,0.0817538,0.0226676,0.0927389,,,,,,,,,
fig4_spectralData.csv,,,,408.0,0.0812642,0.0820179,0.0227541,0.0932267,,,,,,,,,
fig4_spectralData.csv,,,,409.0,0.0813658,0.0820202,0.0228365,0.0934096,,,,,,,,,
fig4_spectralData.csv,,,,410.0,0.0814182,0.08196,0.022915,0.0935831,,,,,,,,,
