material,color,density_g_cm3,tensile_strength_yield_MPa,elongation_yield_pct,E_modulus_tension_GPa,E_modulus_flex_GPa_min,E_modulus_flex_GPa_max,impact_strength_kJ_m2,creep_rupture_strength_1000h_MPa,time_yield_limit_1pct_1000h_MPa,COF_vs_hardened_steel,ball_indentation_hardness_MPa,shore_D,Tg_C,Tm_C,service_temp_short_C,service_temp_long_C,CTE_1e-5_perK_min,CTE_1e-5_perK_max,cp_J_gK_min,cp_J_gK_max,k_W_mK_min,k_W_mK_max,surface_resistivity_ohm,dielectric_strength_kV_mm,water_absorption_saturation_23C_pct_lt,weathering_resistant,UL94,source,notes
HDPE Natural (PE300/PE-HWST),Natural,0.947,25,9,1.0,1.0,1.4,,12.5,3,0.29,43,64,-95,130,90,80,13,15,1.7,2.0,0.35,0.43,100000000000000.0,50,0.05,False,HB,Direct Plastics HDPE Data Sheet (Natural),Values are typical; many from ISO/DIN standards.
HDPE Black (PE300/PE-HWU),Black,0.955,25,9,1.0,1.0,1.4,,12.5,3,0.29,50,64,-95,130,90,80,13,15,1.7,2.0,0.35,0.43,100000000000000.0,47,0.05,True,HB,Direct Plastics HDPE Data Sheet (Black),Values are typical; many from ISO/DIN standards.
