material_key,material_name,condition,density_g_cm3,tensile_modulus_gpa,tensile_strength_mpa,tensile_strain_yield_pct,tensile_strain_break_pct,hdt_1p8_mpa_c,melting_temperature_c,thermal_conductivity_w_mk,cte_23_60_e6_per_k,cte_23_100_e6_per_k,dielectric_strength_kv_mm,volume_resistivity_ohm_cm,surface_resistivity_ohm,relative_permittivity_100hz,relative_permittivity_1mhz,dielectric_loss_tan_delta_100hz,dielectric_loss_tan_delta_1mhz,comparative_tracking_index_cti,oxygen_index_pct,service_temp_short_c,service_temp_5000h_c,service_temp_20000h_c,min_service_temp_c,charpy_unnotched_kj_m2,charpy_notched_kj_m2,ball_indentation_hardness_n_mm2,rockwell_hardness_M,water_absorption_24h_pct,water_absorption_96h_pct,moisture_sat_air_pct,moisture_sat_water_pct,flammability_ul94,notes,source_file,source_brand,source_year
nylon66_ertalon66,Nylon 6/6 (Ertalon 66 SA),dry (+),1.14,3.55,93.0,5.0,50.0,85.0,260.0,0.28,80.0,95.0,27.0,100000000000000.0,10000000000000.0,3.8,3.3,0.013,0.02,600,26.0,180.0,95.0,80.0,-30.0,,4.5,160.0,88.0,0.6,1.13,2.4,8.0,HB (3/6 mm),Values at 23 °C unless noted; tensile tests per ISO 527 (type 1B).,nylon_66_technical_data_sheet.pdf,Quadrant (Ertalon) / theplasticshop.co.uk,2011
nylon66_ertalon66,Nylon 6/6 (Ertalon 66 SA),equilibrium 23°C/50% RH (++),1.14,1.7,55.0,,100.0,85.0,260.0,0.28,80.0,95.0,18.0,1000000000000.0,1000000000000.0,7.4,3.8,0.13,0.06,600,26.0,180.0,95.0,80.0,-30.0,,4.5,160.0,88.0,0.6,1.13,2.4,8.0,HB (3/6 mm),Electrical/mechanical values reflect moisture equilibrium; many properties degrade with moisture.,nylon_66_technical_data_sheet.pdf,Quadrant (Ertalon) / theplasticshop.co.uk,2011
